citoyen_id,nom,prenom,date_naissance,email,telephone,adresse,code_postal,ville,arrondissement
57,Ahmed,Antoine,1988-10-02,antoine.ahmed@ville-marseille.fr,0660576627,117 Boulevard National,13007,Marseille,8e
58,Dubois,Thomas,1985-01-23,thomas.dubois@ville-marseille.fr,0626217459,85 Avenue du Prado,13015,Marseille,4e
59,Petit,Rachid,1947-03-16,rachid.petit@ville-marseille.fr,0691343161,219 Rue de Rome,13013,Marseille,11e
60,Benali,Clara,1954-12-04,clara.benali@gmail.com,0755623869,232 Rue de la République,13002,Marseille,11e
61,Dubois,Lea,1955-09-15,lea.dubois@outlook.com,0674740748,157 Rue Saint-Ferréol,13008,Marseille,16e
62,Durand,Lea,1979-08-18,lea.durand@ville-marseille.fr,0736713695,151 Rue de Lodi,13014,Marseille,9e
63,Royer,Sarah,1966-06-27,sarah.royer@gmail.com,0743953394,213 Rue Saint-Ferréol,13009,Marseille,1e
64,Petit,Youssef,1948-09-18,youssef.petit@gmail.com,0721456232,166 Rue de la République,13010,Marseille,15e
65,Ahmed,Camille,1985-01-06,camille.ahmed@yahoo.fr,0717123685,213 Boulevard Baille,13009,Marseille,16e
66,Lambert,Nicolas,1975-05-26,nicolas.lambert@yahoo.fr,0796513709,68 Rue de Rome,13004,Marseille,15e
67,Gonzalez,Antoine,1959-11-10,antoine.gonzalez@gmail.com,0600471138,17 Rue d'Aubagne,13010,Marseille,14e
68,Rossi,Youssef,1980-09-11,youssef.rossi@ville-marseille.fr,0679640537,172 Rue de Rome,13014,Marseille,5e
69,Moreau,Hugo,1972-07-15,hugo.moreau@ville-marseille.fr,0731713900,176 Boulevard National,13012,Marseille,2e
70,Moreau,Antoine,1951-04-19,antoine.moreau@outlook.com,0729042284,53 Avenue du Prado,13007,Marseille,7e
71,Durand,Lea,1999-04-22,lea.durand@yahoo.fr,0624026811,34 Rue de la République,13012,Marseille,8e
72,Benali,Emma,1972-06-24,emma.benali@gmail.com,0770076617,152 Avenue du Prado,13015,Marseille,8e
73,Durand,Hugo,1947-04-01,hugo.durand@yahoo.fr,0769847896,156 Boulevard Baille,13003,Marseille,5e
74,Lambert,Clara,2002-12-16,clara.lambert@ville-marseille.fr,0665766156,219 Rue de Rome,13007,Marseille,14e
75,Petit,Antoine,1962-11-13,antoine.petit@gmail.com,0616152809,245 Boulevard Baille,13016,Marseille,3e
76,Petit,Antoine,1950-12-19,antoine.petit@yahoo.fr,0719832731,91 Rue Saint-Ferréol,13002,Marseille,10e
77,Fournier,Camille,1989-11-26,camille.fournier@gmail.com,0702445502,30 Rue de Lodi,13008,Marseille,14e
78,Gonzalez,Youssef,1998-12-21,youssef.gonzalez@outlook.com,0767525459,18 Boulevard Baille,13001,Marseille,3e
79,Martin,Nicolas,1953-12-16,nicolas.martin@ville-marseille.fr,0779764381,194 Rue de la République,13003,Marseille,9e
80,Rossi,Camille,1949-12-12,camille.rossi@outlook.com,0790034324,174 Rue d'Aubagne,13010,Marseille,2e
81,Garcia,Sarah,1950-10-06,sarah.garcia@ville-marseille.fr,0688516060,128 Rue Saint-Ferréol,13006,Marseille,5e
82,Durand,Hugo,1968-02-01,hugo.durand@gmail.com,0705297516,110 Rue Saint-Ferréol,13014,Marseille,10e
83,Moreau,Clara,1979-02-01,clara.moreau@yahoo.fr,0735218188,103 Rue de Rome,13003,Marseille,13e
84,Lambert,Marc,1971-05-06,marc.lambert@outlook.com,0732921277,187 Boulevard Baille,13008,Marseille,4e
85,Petit,Hugo,1990-08-23,hugo.petit@ville-marseille.fr,0677449058,163 Boulevard National,13011,Marseille,5e
86,Lefevre,Nicolas,1981-06-04,nicolas.lefevre@gmail.com,0699867980,10 Rue de la République,13012,Marseille,10e
87,Lambert,Hugo,1991-04-15,hugo.lambert@gmail.com,0715182037,49 Boulevard National,13016,Marseille,5e
88,Ahmed,Hugo,1986-11-24,hugo.ahmed@ville-marseille.fr,0759051518,41 Boulevard National,13012,Marseille,10e
89,Lefevre,Rachid,1962-08-10,rachid.lefevre@outlook.com,0746291486,247 Boulevard Baille,13011,Marseille,3e
90,Fournier,Antoine,1951-06-19,antoine.fournier@yahoo.fr,0723573322,24 Rue Saint-Ferréol,13012,Marseille,1e
91,Lefevre,Nicolas,1949-01-27,nicolas.lefevre@outlook.com,0722292706,198 Rue de Rome,13002,Marseille,11e
92,Petit,Camille,2004-07-22,camille.petit@outlook.com,0647359774,249 Rue d'Aubagne,13010,Marseille,15e
93,Ahmed,Rachid,1987-04-27,rachid.ahmed@yahoo.fr,0675818141,248 Boulevard Baille,13007,Marseille,5e
94,Lefevre,Lea,1980-04-23,lea.lefevre@ville-marseille.fr,0706068536,38 Rue Saint-Ferréol,13003,Marseille,8e
95,Garcia,Nicolas,1960-02-22,nicolas.garcia@outlook.com,0647277901,82 Avenue du Prado,13011,Marseille,5e
96,Lefevre,Sophie,1959-05-07,sophie.lefevre@yahoo.fr,0641036971,141 Rue de Rome,13014,Marseille,4e
97,Fournier,Clara,1984-11-03,clara.fournier@yahoo.fr,0709539621,138 Rue de la République,13008,Marseille,5e
98,Durand,Camille,1987-03-12,camille.durand@ville-marseille.fr,0665405153,130 Rue de Rome,13001,Marseille,13e
99,Lambert,Clara,1992-03-15,clara.lambert@outlook.com,0772217043,35 Rue de la République,13012,Marseille,11e
100,Lambert,Thomas,1957-11-23,thomas.lambert@yahoo.fr,0634505415,81 Rue de Lodi,13013,Marseille,16e
101,Rossi,Marine,1979-06-14,marine.rossi@yahoo.fr,0716169284,87 Boulevard Baille,13016,Marseille,16e
102,Durand,Antoine,1947-03-08,antoine.durand@ville-marseille.fr,0675705964,170 Rue de Lodi,13010,Marseille,15e
103,Durand,Thomas,2000-03-19,thomas.durand@outlook.com,0702135569,104 Boulevard National,13006,Marseille,1e
104,Gonzalez,Thomas,1953-10-06,thomas.gonzalez@gmail.com,0685654310,243 Boulevard National,13012,Marseille,15e
105,Benali,Lea,1986-06-13,lea.benali@yahoo.fr,0739473121,234 Rue de Rome,13004,Marseille,9e
106,Dubois,Hugo,2003-12-31,hugo.dubois@yahoo.fr,0722583132,23 Boulevard National,13012,Marseille,3e
107,Lambert,Julie,1984-04-27,julie.lambert@outlook.com,0614678669,93 Rue de Rome,13012,Marseille,15e
108,Dubois,Nicolas,1968-06-10,nicolas.dubois@outlook.com,0626801824,19 Rue d'Aubagne,13015,Marseille,12e
109,Dubois,Lea,1968-12-11,lea.dubois@yahoo.fr,0684249818,89 Rue de Rome,13010,Marseille,3e
110,Gonzalez,Lea,1992-02-03,lea.gonzalez@gmail.com,0694396907,44 Boulevard National,13002,Marseille,1e
111,Petit,Sarah,1967-02-07,sarah.petit@gmail.com,0627677359,63 Rue Saint-Ferréol,13010,Marseille,15e
112,Garcia,Youssef,2004-06-12,youssef.garcia@yahoo.fr,0653714732,188 Boulevard National,13013,Marseille,5e
113,Martin,Clara,1966-01-13,clara.martin@yahoo.fr,0732787747,222 Rue Saint-Ferréol,13008,Marseille,6e
114,Durand,Sophie,1975-04-12,sophie.durand@gmail.com,0647974801,118 Rue Paradis,13007,Marseille,12e
115,Dubois,Marine,1963-09-23,marine.dubois@ville-marseille.fr,0698358416,196 Rue Saint-Ferréol,13012,Marseille,2e
116,Lambert,Hugo,1989-04-30,hugo.lambert@ville-marseille.fr,0758523986,212 Avenue du Prado,13005,Marseille,4e
117,Martin,Thomas,1943-06-29,thomas.martin@outlook.com,0659526949,183 Boulevard National,13016,Marseille,15e
118,Ahmed,Antoine,1985-09-23,antoine.ahmed@yahoo.fr,0716940974,126 Rue de Lodi,13016,Marseille,1e
119,Royer,Julie,1944-08-09,julie.royer@outlook.com,0691307562,123 Boulevard Baille,13013,Marseille,5e
120,Royer,Marine,1958-04-17,marine.royer@outlook.com,0778652785,129 Rue d'Aubagne,13002,Marseille,5e
121,Petit,Camille,2004-09-04,camille.petit@outlook.com,0784344375,206 Rue de Lodi,13016,Marseille,7e
122,Garcia,Emma,1990-04-14,emma.garcia@yahoo.fr,0640415747,74 Avenue du Prado,13013,Marseille,13e
123,Moreau,Marc,1988-04-26,marc.moreau@gmail.com,0630833016,239 Rue de Rome,13009,Marseille,5e
124,Royer,Antoine,1982-05-19,antoine.royer@ville-marseille.fr,0773454019,175 Boulevard Baille,13001,Marseille,6e
125,Ahmed,Julie,2004-11-15,julie.ahmed@gmail.com,0772400499,234 Boulevard Baille,13014,Marseille,6e
126,Garcia,Clara,1965-07-12,clara.garcia@ville-marseille.fr,0731527420,165 Rue de Rome,13016,Marseille,5e
127,Lambert,Antoine,1966-06-20,antoine.lambert@ville-marseille.fr,0716122753,173 Rue Paradis,13006,Marseille,13e
128,Lefevre,Sophie,1974-05-30,sophie.lefevre@gmail.com,0753017426,115 Rue de Lodi,13011,Marseille,10e
129,Royer,Sarah,1950-07-14,sarah.royer@outlook.com,0672795687,235 Rue de Lodi,13012,Marseille,8e
130,Lambert,Marc,1962-03-14,marc.lambert@gmail.com,0608839822,224 Avenue du Prado,13015,Marseille,12e
131,Fournier,Antoine,1986-09-06,antoine.fournier@ville-marseille.fr,0672867908,30 Rue Paradis,13016,Marseille,3e
132,Petit,Hugo,1967-08-25,hugo.petit@gmail.com,0665180170,102 Rue de Lodi,13001,Marseille,7e
133,Rossi,Sarah,1956-02-23,sarah.rossi@ville-marseille.fr,0761825128,197 Rue Saint-Ferréol,13012,Marseille,13e
134,Ahmed,Rachid,1951-06-04,rachid.ahmed@ville-marseille.fr,0786337524,214 Rue de la République,13001,Marseille,10e
135,Royer,Marc,1950-02-14,marc.royer@outlook.com,0619079030,208 Rue Saint-Ferréol,13001,Marseille,8e
136,Benali,Rachid,1961-01-08,rachid.benali@outlook.com,0799534283,56 Rue de la République,13005,Marseille,10e
137,Lefevre,Marine,1964-09-07,marine.lefevre@gmail.com,0768566246,143 Boulevard Baille,13014,Marseille,16e
138,Lambert,Lea,1988-04-04,lea.lambert@ville-marseille.fr,0686688263,62 Rue Paradis,13010,Marseille,5e
139,Moreau,Karim,1969-08-18,karim.moreau@outlook.com,0646990139,21 Rue d'Aubagne,13012,Marseille,3e
140,Benali,Marc,1958-09-27,marc.benali@gmail.com,0739363854,78 Rue de la République,13007,Marseille,7e
141,Benali,Rachid,1987-11-16,rachid.benali@ville-marseille.fr,0717535560,92 Rue de Lodi,13009,Marseille,12e
142,Royer,Julie,1953-02-02,julie.royer@outlook.com,0653693785,67 Rue de Rome,13014,Marseille,10e
143,Lambert,Karim,1983-11-02,karim.lambert@yahoo.fr,0628728080,190 Rue d'Aubagne,13015,Marseille,6e
144,Fournier,Nicolas,1999-12-13,nicolas.fournier@outlook.com,0620387509,196 Rue de la République,13014,Marseille,5e
145,Petit,Emma,1983-10-08,emma.petit@gmail.com,0784086211,2 Rue de Rome,13014,Marseille,1e
146,Moreau,Youssef,1957-03-21,youssef.moreau@ville-marseille.fr,0656793341,135 Rue de Lodi,13012,Marseille,9e
147,Durand,Thomas,1976-05-11,thomas.durand@gmail.com,0617659180,97 Rue de Rome,13016,Marseille,2e
148,Moreau,Julie,2002-02-08,julie.moreau@yahoo.fr,0625039261,122 Rue de Lodi,13002,Marseille,3e
149,Dubois,Sarah,1990-08-05,sarah.dubois@outlook.com,0685016315,146 Rue Saint-Ferréol,13011,Marseille,13e
150,Lambert,Rachid,1969-04-12,rachid.lambert@outlook.com,0786629619,163 Rue de Lodi,13015,Marseille,16e
151,Lambert,Sarah,1962-02-09,sarah.lambert@outlook.com,0755110475,22 Rue de Lodi,13005,Marseille,13e
152,Durand,Karim,1951-11-20,karim.durand@gmail.com,0615819956,48 Rue Saint-Ferréol,13015,Marseille,14e
153,Lefevre,Sophie,1977-02-14,sophie.lefevre@ville-marseille.fr,0624447212,200 Avenue du Prado,13008,Marseille,6e
154,Lefevre,Marine,1977-10-11,marine.lefevre@outlook.com,0799371240,124 Avenue du Prado,13012,Marseille,9e
155,Garcia,Rachid,1995-08-22,rachid.garcia@ville-marseille.fr,0645937526,206 Boulevard National,13015,Marseille,11e
156,Lefevre,Antoine,2005-12-05,antoine.lefevre@yahoo.fr,0751939828,126 Rue Paradis,13011,Marseille,13e
157,Royer,Sophie,1981-05-31,sophie.royer@ville-marseille.fr,0643426617,113 Rue de Lodi,13003,Marseille,14e
158,Gonzalez,Emma,1975-12-16,emma.gonzalez@gmail.com,0635290965,130 Rue Saint-Ferréol,13002,Marseille,12e
159,Durand,Marine,1940-12-11,marine.durand@yahoo.fr,0779825071,67 Rue Paradis,13008,Marseille,15e
160,Rossi,Sarah,1947-09-14,sarah.rossi@yahoo.fr,0738757177,213 Boulevard Baille,13012,Marseille,10e
161,Durand,Antoine,1966-12-09,antoine.durand@gmail.com,0638282586,208 Avenue du Prado,13001,Marseille,11e
162,Moreau,Hugo,1976-05-03,hugo.moreau@gmail.com,0679660334,48 Boulevard Baille,13014,Marseille,13e
163,Gonzalez,Nicolas,1949-02-16,nicolas.gonzalez@ville-marseille.fr,0647859696,48 Boulevard National,13011,Marseille,7e
164,Garcia,Clara,1971-07-30,clara.garcia@outlook.com,0713412528,159 Boulevard Baille,13010,Marseille,3e
165,Rossi,Rachid,1993-07-04,rachid.rossi@ville-marseille.fr,0682742257,148 Rue Saint-Ferréol,13014,Marseille,6e
166,Fournier,Thomas,1972-03-17,thomas.fournier@ville-marseille.fr,0776772190,125 Boulevard Baille,13007,Marseille,13e
167,Lefevre,Julie,1942-12-07,julie.lefevre@ville-marseille.fr,0788191485,58 Rue de Rome,13010,Marseille,6e
168,Lambert,Thomas,2004-07-02,thomas.lambert@outlook.com,0707451713,140 Rue Paradis,13014,Marseille,4e
169,Lambert,Marc,1992-09-29,marc.lambert@outlook.com,0609584982,221 Rue Saint-Ferréol,13006,Marseille,5e
170,Royer,Antoine,1966-04-03,antoine.royer@ville-marseille.fr,0642232536,147 Rue de Lodi,13004,Marseille,5e
171,Dubois,Emma,1991-10-21,emma.dubois@gmail.com,0668457759,69 Rue Saint-Ferréol,13013,Marseille,15e
172,Fournier,Sophie,2005-09-25,sophie.fournier@ville-marseille.fr,0663745458,188 Rue d'Aubagne,13012,Marseille,3e
173,Gonzalez,Youssef,1983-07-17,youssef.gonzalez@ville-marseille.fr,0612770632,229 Rue de la République,13002,Marseille,4e
174,Dubois,Sarah,1964-08-01,sarah.dubois@yahoo.fr,0606436110,168 Boulevard National,13009,Marseille,3e
175,Benali,Marc,1946-12-28,marc.benali@gmail.com,0716271361,152 Rue Paradis,13015,Marseille,1e
176,Durand,Clara,1968-02-10,clara.durand@outlook.com,0618909275,226 Rue de Lodi,13005,Marseille,13e
177,Petit,Marc,1953-07-31,marc.petit@gmail.com,0619656523,158 Rue d'Aubagne,13007,Marseille,3e
178,Petit,Karim,1947-07-23,karim.petit@outlook.com,0664037613,142 Rue de Lodi,13001,Marseille,10e
179,Petit,Emma,1993-04-13,emma.petit@outlook.com,0796582710,136 Rue de la République,13012,Marseille,11e
180,Martin,Nicolas,1963-07-10,nicolas.martin@ville-marseille.fr,0761889241,11 Rue de la République,13013,Marseille,10e
181,Durand,Sarah,1985-11-14,sarah.durand@gmail.com,0763031617,250 Boulevard Baille,13011,Marseille,13e
182,Lefevre,Thomas,1999-10-04,thomas.lefevre@outlook.com,0627588425,190 Boulevard Baille,13004,Marseille,1e
183,Royer,Youssef,1964-02-10,youssef.royer@yahoo.fr,0649177850,198 Rue de la République,13011,Marseille,14e
184,Fournier,Emma,1990-11-09,emma.fournier@gmail.com,0680003075,95 Boulevard Baille,13009,Marseille,4e
185,Dubois,Rachid,1956-01-21,rachid.dubois@outlook.com,0754195180,142 Rue Saint-Ferréol,13008,Marseille,11e
186,Moreau,Lea,1986-04-09,lea.moreau@yahoo.fr,0751870534,245 Rue Saint-Ferréol,13003,Marseille,15e
187,Royer,Sarah,1995-11-13,sarah.royer@outlook.com,0606038505,119 Boulevard National,13016,Marseille,7e
188,Lambert,Sophie,1998-12-20,sophie.lambert@outlook.com,0770241038,218 Rue de Lodi,13004,Marseille,7e
189,Royer,Marine,1973-06-01,marine.royer@ville-marseille.fr,0699062344,250 Avenue du Prado,13004,Marseille,5e
190,Lambert,Antoine,1975-04-03,antoine.lambert@gmail.com,0629121277,82 Rue d'Aubagne,13009,Marseille,8e
191,Rossi,Antoine,1950-10-31,antoine.rossi@ville-marseille.fr,0711249035,92 Rue Paradis,13015,Marseille,10e
192,Durand,Youssef,2003-10-20,youssef.durand@yahoo.fr,0720678831,248 Boulevard National,13013,Marseille,2e
193,Durand,Hugo,1952-07-16,hugo.durand@outlook.com,0751994101,4 Rue de la République,13008,Marseille,5e
194,Petit,Marc,1979-10-13,marc.petit@ville-marseille.fr,0629667066,24 Boulevard National,13004,Marseille,2e
195,Garcia,Lea,1959-04-06,lea.garcia@gmail.com,0647687014,71 Rue de Lodi,13015,Marseille,5e
196,Dubois,Rachid,1977-08-11,rachid.dubois@ville-marseille.fr,0778759856,165 Rue de Rome,13008,Marseille,1e
197,Dubois,Karim,1942-05-04,karim.dubois@gmail.com,0785932133,153 Rue Paradis,13001,Marseille,9e
198,Ahmed,Karim,1945-01-06,karim.ahmed@outlook.com,0695590599,148 Rue Saint-Ferréol,13012,Marseille,6e
199,Gonzalez,Youssef,1956-11-20,youssef.gonzalez@gmail.com,0603930870,139 Rue de Lodi,13006,Marseille,16e
200,Gonzalez,Antoine,1958-01-27,antoine.gonzalez@gmail.com,0692185156,88 Boulevard Baille,13011,Marseille,2e
201,Garcia,Clara,1967-01-27,clara.garcia@yahoo.fr,0689539264,35 Boulevard Baille,13014,Marseille,16e
202,Dubois,Sarah,1955-12-11,sarah.dubois@yahoo.fr,0691725135,243 Rue Saint-Ferréol,13002,Marseille,6e
203,Dubois,Antoine,1997-01-27,antoine.dubois@yahoo.fr,0631541006,211 Boulevard National,13015,Marseille,1e
204,Royer,Hugo,1977-08-25,hugo.royer@yahoo.fr,0717932710,227 Rue Saint-Ferréol,13016,Marseille,13e
205,Martin,Sarah,1968-08-04,sarah.martin@outlook.com,0721815997,244 Avenue du Prado,13003,Marseille,11e
206,Rossi,Sophie,1998-08-22,sophie.rossi@gmail.com,0733688444,156 Rue Saint-Ferréol,13006,Marseille,2e
207,Durand,Julie,1944-06-14,julie.durand@gmail.com,0706149731,147 Rue de Rome,13016,Marseille,5e
208,Moreau,Sophie,1955-04-29,sophie.moreau@yahoo.fr,0777418625,75 Avenue du Prado,13016,Marseille,4e
209,Garcia,Rachid,1956-09-26,rachid.garcia@yahoo.fr,0649021158,12 Rue de Lodi,13015,Marseille,15e
210,Lambert,Marine,1992-11-27,marine.lambert@ville-marseille.fr,0674160898,142 Rue de la République,13013,Marseille,14e
211,Durand,Youssef,1980-04-14,youssef.durand@outlook.com,0661632945,243 Boulevard Baille,13007,Marseille,7e
212,Durand,Nicolas,1974-10-26,nicolas.durand@ville-marseille.fr,0699861622,102 Rue de Rome,13011,Marseille,9e
213,Durand,Clara,1990-06-25,clara.durand@yahoo.fr,0779970246,202 Rue de Lodi,13012,Marseille,14e
214,Gonzalez,Youssef,1994-08-09,youssef.gonzalez@gmail.com,0745054447,10 Rue Saint-Ferréol,13011,Marseille,8e
215,Fournier,Clara,1960-06-13,clara.fournier@ville-marseille.fr,0637367850,77 Rue d'Aubagne,13011,Marseille,9e
216,Durand,Lea,1967-11-29,lea.durand@outlook.com,0603070534,104 Boulevard Baille,13001,Marseille,6e
217,Fournier,Camille,1981-08-24,camille.fournier@yahoo.fr,0797279855,102 Avenue du Prado,13001,Marseille,8e
218,Fournier,Lea,1963-03-16,lea.fournier@outlook.com,0633346800,73 Rue de la République,13013,Marseille,2e
219,Dubois,Emma,1998-01-29,emma.dubois@yahoo.fr,0766574374,154 Rue de la République,13008,Marseille,9e
220,Gonzalez,Rachid,1949-03-06,rachid.gonzalez@gmail.com,0715454443,131 Boulevard National,13010,Marseille,10e
221,Ahmed,Youssef,1961-07-23,youssef.ahmed@gmail.com,0744666099,207 Rue Saint-Ferréol,13011,Marseille,5e
222,Garcia,Marc,2005-03-07,marc.garcia@yahoo.fr,0682417248,176 Rue de Rome,13016,Marseille,12e
223,Petit,Lea,1970-02-10,lea.petit@yahoo.fr,0755494717,23 Rue Paradis,13012,Marseille,8e
224,Fournier,Thomas,1996-11-29,thomas.fournier@gmail.com,0784602235,149 Avenue du Prado,13016,Marseille,7e
225,Gonzalez,Marine,1981-01-18,marine.gonzalez@yahoo.fr,0650074329,81 Boulevard Baille,13003,Marseille,16e
226,Benali,Lea,1947-11-24,lea.benali@ville-marseille.fr,0760083505,158 Rue Saint-Ferréol,13014,Marseille,13e
227,Martin,Marc,2000-09-17,marc.martin@yahoo.fr,0616894210,161 Rue Paradis,13008,Marseille,12e
228,Lefevre,Sarah,1980-11-25,sarah.lefevre@outlook.com,0775326033,153 Rue de Rome,13011,Marseille,14e
229,Moreau,Youssef,2005-11-09,youssef.moreau@yahoo.fr,0664890901,151 Rue de Rome,13006,Marseille,4e
